FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAX0HFEN, link=6, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAX0HFFN, link=6, sequence=11]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAX0HFOM, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=SAX0HFON, link=5, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=TAW0HFEM, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=TAW0HFEN, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=TAW0HFFN, link=1, sequence=5]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=TAW0HFOM, link=1, sequence=3]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=TAW0HFON, link=1, sequence=3]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0HFEM, link=3, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0HFEN, link=9, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0HFFN, link=9, sequence=9]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0HFOM, link=3, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0HFON, link=4, sequence=7]
FareRecord[tariff=30, carrier=UA , origin=ABQ  , destination=OGG  , fareClass=UAA0LFFM, link=1, sequence=7]
